Entity,Code,Year,Number of nuclear warheads
China,CHN,1945,0
China,CHN,1946,0
China,CHN,1947,0
China,CHN,1948,0
China,CHN,1949,0
China,CHN,1950,0
China,CHN,1951,0
China,CHN,1952,0
China,CHN,1953,0
China,CHN,1954,0
China,CHN,1955,0
China,CHN,1956,0
China,CHN,1957,0
China,CHN,1958,0
China,CHN,1959,0
China,CHN,1960,0
China,CHN,1961,0
China,CHN,1962,0
China,CHN,1963,0
China,CHN,1964,1
China,CHN,1965,5
China,CHN,1966,20
China,CHN,1967,25
China,CHN,1968,35
China,CHN,1969,50
China,CHN,1970,75
China,CHN,1971,100
China,CHN,1972,130
China,CHN,1973,150
China,CHN,1974,170
China,CHN,1975,180
China,CHN,1976,180
China,CHN,1977,180
China,CHN,1978,190
China,CHN,1979,195
China,CHN,1980,205
China,CHN,1981,210
China,CHN,1982,216
China,CHN,1983,218
China,CHN,1984,220
China,CHN,1985,222
China,CHN,1986,224
China,CHN,1987,226
China,CHN,1988,228
China,CHN,1989,230
China,CHN,1990,232
China,CHN,1991,234
China,CHN,1992,234
China,CHN,1993,234
China,CHN,1994,234
China,CHN,1995,234
China,CHN,1996,234
China,CHN,1997,232
China,CHN,1998,232
China,CHN,1999,232
China,CHN,2000,232
China,CHN,2001,235
China,CHN,2002,235
China,CHN,2003,235
China,CHN,2004,235
China,CHN,2005,235
China,CHN,2006,235
China,CHN,2007,235
China,CHN,2008,235
China,CHN,2009,240
China,CHN,2010,240
China,CHN,2011,240
China,CHN,2012,240
China,CHN,2013,250
China,CHN,2014,250
China,CHN,2015,260
China,CHN,2016,260
China,CHN,2017,270
China,CHN,2018,280
China,CHN,2019,290
China,CHN,2020,350
China,CHN,2021,370
China,CHN,2022,390
China,CHN,2023,410
France,FRA,1945,0
France,FRA,1946,0
France,FRA,1947,0
France,FRA,1948,0
France,FRA,1949,0
France,FRA,1950,0
France,FRA,1951,0
France,FRA,1952,0
France,FRA,1953,0
France,FRA,1954,0
France,FRA,1955,0
France,FRA,1956,0
France,FRA,1957,0
France,FRA,1958,0
France,FRA,1959,0
France,FRA,1960,0
France,FRA,1961,0
France,FRA,1962,0
France,FRA,1963,0
France,FRA,1964,4
France,FRA,1965,32
France,FRA,1966,36
France,FRA,1967,36
France,FRA,1968,36
France,FRA,1969,36
France,FRA,1970,36
France,FRA,1971,45
France,FRA,1972,70
France,FRA,1973,116
France,FRA,1974,145
France,FRA,1975,188
France,FRA,1976,212
France,FRA,1977,228
France,FRA,1978,235
France,FRA,1979,235
France,FRA,1980,250
France,FRA,1981,274
France,FRA,1982,274
France,FRA,1983,279
France,FRA,1984,280
France,FRA,1985,360
France,FRA,1986,355
France,FRA,1987,420
France,FRA,1988,410
France,FRA,1989,410
France,FRA,1990,505
France,FRA,1991,540
France,FRA,1992,540
France,FRA,1993,525
France,FRA,1994,510
France,FRA,1995,500
France,FRA,1996,450
France,FRA,1997,450
France,FRA,1998,450
France,FRA,1999,450
France,FRA,2000,470
France,FRA,2001,350
France,FRA,2002,350
France,FRA,2003,350
France,FRA,2004,350
France,FRA,2005,350
France,FRA,2006,350
France,FRA,2007,350
France,FRA,2008,300
France,FRA,2009,300
France,FRA,2010,300
France,FRA,2011,300
France,FRA,2012,300
France,FRA,2013,300
France,FRA,2014,300
France,FRA,2015,300
France,FRA,2016,300
France,FRA,2017,300
France,FRA,2018,300
France,FRA,2019,300
France,FRA,2020,290
France,FRA,2021,290
France,FRA,2022,290
France,FRA,2023,290
India,IND,1945,0
India,IND,1946,0
India,IND,1947,0
India,IND,1948,0
India,IND,1949,0
India,IND,1950,0
India,IND,1951,0
India,IND,1952,0
India,IND,1953,0
India,IND,1954,0
India,IND,1955,0
India,IND,1956,0
India,IND,1957,0
India,IND,1958,0
India,IND,1959,0
India,IND,1960,0
India,IND,1961,0
India,IND,1962,0
India,IND,1963,0
India,IND,1964,0
India,IND,1965,0
India,IND,1966,0
India,IND,1967,0
India,IND,1968,0
India,IND,1969,0
India,IND,1970,0
India,IND,1971,0
India,IND,1972,0
India,IND,1973,0
India,IND,1974,0
India,IND,1975,0
India,IND,1976,0
India,IND,1977,0
India,IND,1978,0
India,IND,1979,0
India,IND,1980,0
India,IND,1981,0
India,IND,1982,0
India,IND,1983,0
India,IND,1984,0
India,IND,1985,0
India,IND,1986,0
India,IND,1987,0
India,IND,1988,0
India,IND,1989,0
India,IND,1990,0
India,IND,1991,0
India,IND,1992,0
India,IND,1993,0
India,IND,1994,0
India,IND,1995,0
India,IND,1996,0
India,IND,1997,0
India,IND,1998,3
India,IND,1999,8
India,IND,2000,13
India,IND,2001,18
India,IND,2002,23
India,IND,2003,28
India,IND,2004,33
India,IND,2005,38
India,IND,2006,43
India,IND,2007,50
India,IND,2008,60
India,IND,2009,70
India,IND,2010,80
India,IND,2011,90
India,IND,2012,100
India,IND,2013,110
India,IND,2014,100
India,IND,2015,110
India,IND,2016,120
India,IND,2017,130
India,IND,2018,140
India,IND,2019,140
India,IND,2020,150
India,IND,2021,160
India,IND,2022,160
India,IND,2023,164
Israel,ISR,1945,0
Israel,ISR,1946,0
Israel,ISR,1947,0
Israel,ISR,1948,0
Israel,ISR,1949,0
Israel,ISR,1950,0
Israel,ISR,1951,0
Israel,ISR,1952,0
Israel,ISR,1953,0
Israel,ISR,1954,0
Israel,ISR,1955,0
Israel,ISR,1956,0
Israel,ISR,1957,0
Israel,ISR,1958,0
Israel,ISR,1959,0
Israel,ISR,1960,0
Israel,ISR,1961,0
Israel,ISR,1962,0
Israel,ISR,1963,0
Israel,ISR,1964,0
Israel,ISR,1965,0
Israel,ISR,1966,0
Israel,ISR,1967,2
Israel,ISR,1968,4
Israel,ISR,1969,6
Israel,ISR,1970,8
Israel,ISR,1971,11
Israel,ISR,1972,13
Israel,ISR,1973,15
Israel,ISR,1974,17
Israel,ISR,1975,20
Israel,ISR,1976,22
Israel,ISR,1977,24
Israel,ISR,1978,26
Israel,ISR,1979,29
Israel,ISR,1980,31
Israel,ISR,1981,33
Israel,ISR,1982,35
Israel,ISR,1983,38
Israel,ISR,1984,40
Israel,ISR,1985,42
Israel,ISR,1986,44
Israel,ISR,1987,47
Israel,ISR,1988,49
Israel,ISR,1989,51
Israel,ISR,1990,53
Israel,ISR,1991,56
Israel,ISR,1992,58
Israel,ISR,1993,60
Israel,ISR,1994,62
Israel,ISR,1995,63
Israel,ISR,1996,64
Israel,ISR,1997,66
Israel,ISR,1998,68
Israel,ISR,1999,70
Israel,ISR,2000,72
Israel,ISR,2001,74
Israel,ISR,2002,76
Israel,ISR,2003,78
Israel,ISR,2004,80
Israel,ISR,2005,80
Israel,ISR,2006,80
Israel,ISR,2007,80
Israel,ISR,2008,80
Israel,ISR,2009,80
Israel,ISR,2010,80
Israel,ISR,2011,80
Israel,ISR,2012,80
Israel,ISR,2013,80
Israel,ISR,2014,80
Israel,ISR,2015,80
Israel,ISR,2016,80
Israel,ISR,2017,80
Israel,ISR,2018,80
Israel,ISR,2019,80
Israel,ISR,2020,90
Israel,ISR,2021,90
Israel,ISR,2022,90
Israel,ISR,2023,90
North Korea,PRK,1945,0
North Korea,PRK,1946,0
North Korea,PRK,1947,0
North Korea,PRK,1948,0
North Korea,PRK,1949,0
North Korea,PRK,1950,0
North Korea,PRK,1951,0
North Korea,PRK,1952,0
North Korea,PRK,1953,0
North Korea,PRK,1954,0
North Korea,PRK,1955,0
North Korea,PRK,1956,0
North Korea,PRK,1957,0
North Korea,PRK,1958,0
North Korea,PRK,1959,0
North Korea,PRK,1960,0
North Korea,PRK,1961,0
North Korea,PRK,1962,0
North Korea,PRK,1963,0
North Korea,PRK,1964,0
North Korea,PRK,1965,0
North Korea,PRK,1966,0
North Korea,PRK,1967,0
North Korea,PRK,1968,0
North Korea,PRK,1969,0
North Korea,PRK,1970,0
North Korea,PRK,1971,0
North Korea,PRK,1972,0
North Korea,PRK,1973,0
North Korea,PRK,1974,0
North Korea,PRK,1975,0
North Korea,PRK,1976,0
North Korea,PRK,1977,0
North Korea,PRK,1978,0
North Korea,PRK,1979,0
North Korea,PRK,1980,0
North Korea,PRK,1981,0
North Korea,PRK,1982,0
North Korea,PRK,1983,0
North Korea,PRK,1984,0
North Korea,PRK,1985,0
North Korea,PRK,1986,0
North Korea,PRK,1987,0
North Korea,PRK,1988,0
North Korea,PRK,1989,0
North Korea,PRK,1990,0
North Korea,PRK,1991,0
North Korea,PRK,1992,0
North Korea,PRK,1993,0
North Korea,PRK,1994,0
North Korea,PRK,1995,0
North Korea,PRK,1996,0
North Korea,PRK,1997,0
North Korea,PRK,1998,0
North Korea,PRK,1999,0
North Korea,PRK,2000,0
North Korea,PRK,2001,0
North Korea,PRK,2002,0
North Korea,PRK,2003,0
North Korea,PRK,2004,0
North Korea,PRK,2005,0
North Korea,PRK,2006,0
North Korea,PRK,2007,0
North Korea,PRK,2008,0
North Korea,PRK,2009,0
North Korea,PRK,2010,0
North Korea,PRK,2011,0
North Korea,PRK,2012,0
North Korea,PRK,2013,0
North Korea,PRK,2014,0
North Korea,PRK,2015,5
North Korea,PRK,2016,10
North Korea,PRK,2017,15
North Korea,PRK,2018,20
North Korea,PRK,2019,25
North Korea,PRK,2020,35
North Korea,PRK,2021,20
North Korea,PRK,2022,25
North Korea,PRK,2023,30
Pakistan,PAK,1945,0
Pakistan,PAK,1946,0
Pakistan,PAK,1947,0
Pakistan,PAK,1948,0
Pakistan,PAK,1949,0
Pakistan,PAK,1950,0
Pakistan,PAK,1951,0
Pakistan,PAK,1952,0
Pakistan,PAK,1953,0
Pakistan,PAK,1954,0
Pakistan,PAK,1955,0
Pakistan,PAK,1956,0
Pakistan,PAK,1957,0
Pakistan,PAK,1958,0
Pakistan,PAK,1959,0
Pakistan,PAK,1960,0
Pakistan,PAK,1961,0
Pakistan,PAK,1962,0
Pakistan,PAK,1963,0
Pakistan,PAK,1964,0
Pakistan,PAK,1965,0
Pakistan,PAK,1966,0
Pakistan,PAK,1967,0
Pakistan,PAK,1968,0
Pakistan,PAK,1969,0
Pakistan,PAK,1970,0
Pakistan,PAK,1971,0
Pakistan,PAK,1972,0
Pakistan,PAK,1973,0
Pakistan,PAK,1974,0
Pakistan,PAK,1975,0
Pakistan,PAK,1976,0
Pakistan,PAK,1977,0
Pakistan,PAK,1978,0
Pakistan,PAK,1979,0
Pakistan,PAK,1980,0
Pakistan,PAK,1981,0
Pakistan,PAK,1982,0
Pakistan,PAK,1983,0
Pakistan,PAK,1984,0
Pakistan,PAK,1985,0
Pakistan,PAK,1986,0
Pakistan,PAK,1987,0
Pakistan,PAK,1988,0
Pakistan,PAK,1989,0
Pakistan,PAK,1990,0
Pakistan,PAK,1991,0
Pakistan,PAK,1992,0
Pakistan,PAK,1993,0
Pakistan,PAK,1994,0
Pakistan,PAK,1995,0
Pakistan,PAK,1996,0
Pakistan,PAK,1997,0
Pakistan,PAK,1998,2
Pakistan,PAK,1999,8
Pakistan,PAK,2000,14
Pakistan,PAK,2001,20
Pakistan,PAK,2002,26
Pakistan,PAK,2003,32
Pakistan,PAK,2004,38
Pakistan,PAK,2005,44
Pakistan,PAK,2006,50
Pakistan,PAK,2007,60
Pakistan,PAK,2008,70
Pakistan,PAK,2009,80
Pakistan,PAK,2010,90
Pakistan,PAK,2011,100
Pakistan,PAK,2012,110
Pakistan,PAK,2013,115
Pakistan,PAK,2014,120
Pakistan,PAK,2015,125
Pakistan,PAK,2016,130
Pakistan,PAK,2017,140
Pakistan,PAK,2018,150
Pakistan,PAK,2019,150
Pakistan,PAK,2020,160
Pakistan,PAK,2021,165
Pakistan,PAK,2022,165
Pakistan,PAK,2023,170
Russia,RUS,1945,0
Russia,RUS,1946,0
Russia,RUS,1947,0
Russia,RUS,1948,0
Russia,RUS,1949,1
Russia,RUS,1950,5
Russia,RUS,1951,25
Russia,RUS,1952,50
Russia,RUS,1953,120
Russia,RUS,1954,150
Russia,RUS,1955,200
Russia,RUS,1956,426
Russia,RUS,1957,660
Russia,RUS,1958,863
Russia,RUS,1959,1048
Russia,RUS,1960,1627
Russia,RUS,1961,2492
Russia,RUS,1962,3346
Russia,RUS,1963,4259
Russia,RUS,1964,5242
Russia,RUS,1965,6144
Russia,RUS,1966,7091
Russia,RUS,1967,8400
Russia,RUS,1968,9490
Russia,RUS,1969,10671
Russia,RUS,1970,11736
Russia,RUS,1971,13279
Russia,RUS,1972,14600
Russia,RUS,1973,15878
Russia,RUS,1974,17286
Russia,RUS,1975,19235
Russia,RUS,1976,22165
Russia,RUS,1977,24281
Russia,RUS,1978,26169
Russia,RUS,1979,28258
Russia,RUS,1980,30665
Russia,RUS,1981,32146
Russia,RUS,1982,33486
Russia,RUS,1983,35130
Russia,RUS,1984,36825
Russia,RUS,1985,38582
Russia,RUS,1986,40159
Russia,RUS,1987,38107
Russia,RUS,1988,36538
Russia,RUS,1989,35078
Russia,RUS,1990,32980
Russia,RUS,1991,29154
Russia,RUS,1992,26734
Russia,RUS,1993,24403
Russia,RUS,1994,21339
Russia,RUS,1995,18179
Russia,RUS,1996,15942
Russia,RUS,1997,15442
Russia,RUS,1998,14368
Russia,RUS,1999,13188
Russia,RUS,2000,12188
Russia,RUS,2001,11152
Russia,RUS,2002,10114
Russia,RUS,2003,9076
Russia,RUS,2004,8038
Russia,RUS,2005,7000
Russia,RUS,2006,6643
Russia,RUS,2007,6286
Russia,RUS,2008,5929
Russia,RUS,2009,5527
Russia,RUS,2010,5215
Russia,RUS,2011,4858
Russia,RUS,2012,4750
Russia,RUS,2013,4650
Russia,RUS,2014,4600
Russia,RUS,2015,4500
Russia,RUS,2016,4490
Russia,RUS,2017,4300
Russia,RUS,2018,4350
Russia,RUS,2019,4330
Russia,RUS,2020,4310
Russia,RUS,2021,4495
Russia,RUS,2022,4477
Russia,RUS,2023,4489
South Africa,ZAF,1945,0
South Africa,ZAF,1946,0
South Africa,ZAF,1947,0
South Africa,ZAF,1948,0
South Africa,ZAF,1949,0
South Africa,ZAF,1950,0
South Africa,ZAF,1951,0
South Africa,ZAF,1952,0
South Africa,ZAF,1953,0
South Africa,ZAF,1954,0
South Africa,ZAF,1955,0
South Africa,ZAF,1956,0
South Africa,ZAF,1957,0
South Africa,ZAF,1958,0
South Africa,ZAF,1959,0
South Africa,ZAF,1960,0
South Africa,ZAF,1961,0
South Africa,ZAF,1962,0
South Africa,ZAF,1963,0
South Africa,ZAF,1964,0
South Africa,ZAF,1965,0
South Africa,ZAF,1966,0
South Africa,ZAF,1967,0
South Africa,ZAF,1968,0
South Africa,ZAF,1969,0
South Africa,ZAF,1970,0
South Africa,ZAF,1971,0
South Africa,ZAF,1972,0
South Africa,ZAF,1973,0
South Africa,ZAF,1974,0
South Africa,ZAF,1975,0
South Africa,ZAF,1976,0
South Africa,ZAF,1977,0
South Africa,ZAF,1978,0
South Africa,ZAF,1979,0
South Africa,ZAF,1980,0
South Africa,ZAF,1981,0
South Africa,ZAF,1982,3
South Africa,ZAF,1983,3
South Africa,ZAF,1984,3
South Africa,ZAF,1985,3
South Africa,ZAF,1986,3
South Africa,ZAF,1987,4
South Africa,ZAF,1988,5
South Africa,ZAF,1989,6
South Africa,ZAF,1990,0
South Africa,ZAF,1991,0
South Africa,ZAF,1992,0
South Africa,ZAF,1993,0
South Africa,ZAF,1994,0
South Africa,ZAF,1995,0
South Africa,ZAF,1996,0
South Africa,ZAF,1997,0
South Africa,ZAF,1998,0
South Africa,ZAF,1999,0
South Africa,ZAF,2000,0
South Africa,ZAF,2001,0
South Africa,ZAF,2002,0
South Africa,ZAF,2003,0
South Africa,ZAF,2004,0
South Africa,ZAF,2005,0
South Africa,ZAF,2006,0
South Africa,ZAF,2007,0
South Africa,ZAF,2008,0
South Africa,ZAF,2009,0
South Africa,ZAF,2010,0
South Africa,ZAF,2011,0
South Africa,ZAF,2012,0
South Africa,ZAF,2013,0
South Africa,ZAF,2014,0
South Africa,ZAF,2015,0
South Africa,ZAF,2016,0
South Africa,ZAF,2017,0
South Africa,ZAF,2018,0
South Africa,ZAF,2019,0
South Africa,ZAF,2020,0
South Africa,ZAF,2021,0
South Africa,ZAF,2022,0
South Africa,ZAF,2023,0
United Kingdom,GBR,1945,0
United Kingdom,GBR,1946,0
United Kingdom,GBR,1947,0
United Kingdom,GBR,1948,0
United Kingdom,GBR,1949,0
United Kingdom,GBR,1950,0
United Kingdom,GBR,1951,0
United Kingdom,GBR,1952,0
United Kingdom,GBR,1953,1
United Kingdom,GBR,1954,5
United Kingdom,GBR,1955,10
United Kingdom,GBR,1956,50
United Kingdom,GBR,1957,58
United Kingdom,GBR,1958,60
United Kingdom,GBR,1959,78
United Kingdom,GBR,1960,105
United Kingdom,GBR,1961,155
United Kingdom,GBR,1962,211
United Kingdom,GBR,1963,256
United Kingdom,GBR,1964,271
United Kingdom,GBR,1965,271
United Kingdom,GBR,1966,281
United Kingdom,GBR,1967,355
United Kingdom,GBR,1968,317
United Kingdom,GBR,1969,306
United Kingdom,GBR,1970,375
United Kingdom,GBR,1971,412
United Kingdom,GBR,1972,423
United Kingdom,GBR,1973,500
United Kingdom,GBR,1974,500
United Kingdom,GBR,1975,500
United Kingdom,GBR,1976,500
United Kingdom,GBR,1977,500
United Kingdom,GBR,1978,500
United Kingdom,GBR,1979,500
United Kingdom,GBR,1980,500
United Kingdom,GBR,1981,500
United Kingdom,GBR,1982,385
United Kingdom,GBR,1983,380
United Kingdom,GBR,1984,350
United Kingdom,GBR,1985,350
United Kingdom,GBR,1986,350
United Kingdom,GBR,1987,350
United Kingdom,GBR,1988,350
United Kingdom,GBR,1989,350
United Kingdom,GBR,1990,350
United Kingdom,GBR,1991,350
United Kingdom,GBR,1992,250
United Kingdom,GBR,1993,250
United Kingdom,GBR,1994,250
United Kingdom,GBR,1995,234
United Kingdom,GBR,1996,203
United Kingdom,GBR,1997,203
United Kingdom,GBR,1998,240
United Kingdom,GBR,1999,240
United Kingdom,GBR,2000,280
United Kingdom,GBR,2001,280
United Kingdom,GBR,2002,280
United Kingdom,GBR,2003,280
United Kingdom,GBR,2004,280
United Kingdom,GBR,2005,280
United Kingdom,GBR,2006,245
United Kingdom,GBR,2007,245
United Kingdom,GBR,2008,245
United Kingdom,GBR,2009,245
United Kingdom,GBR,2010,225
United Kingdom,GBR,2011,225
United Kingdom,GBR,2012,225
United Kingdom,GBR,2013,225
United Kingdom,GBR,2014,225
United Kingdom,GBR,2015,225
United Kingdom,GBR,2016,225
United Kingdom,GBR,2017,225
United Kingdom,GBR,2018,225
United Kingdom,GBR,2019,225
United Kingdom,GBR,2020,225
United Kingdom,GBR,2021,225
United Kingdom,GBR,2022,225
United Kingdom,GBR,2023,225
United States,USA,1945,2
United States,USA,1946,9
United States,USA,1947,13
United States,USA,1948,50
United States,USA,1949,170
United States,USA,1950,299
United States,USA,1951,438
United States,USA,1952,841
United States,USA,1953,1169
United States,USA,1954,1703
United States,USA,1955,2422
United States,USA,1956,3692
United States,USA,1957,5543
United States,USA,1958,7345
United States,USA,1959,12298
United States,USA,1960,18638
United States,USA,1961,22229
United States,USA,1962,25540
United States,USA,1963,28133
United States,USA,1964,29463
United States,USA,1965,31139
United States,USA,1966,31175
United States,USA,1967,31255
United States,USA,1968,29561
United States,USA,1969,27552
United States,USA,1970,26008
United States,USA,1971,25830
United States,USA,1972,26516
United States,USA,1973,27835
United States,USA,1974,28537
United States,USA,1975,27519
United States,USA,1976,25914
United States,USA,1977,25542
United States,USA,1978,24418
United States,USA,1979,24138
United States,USA,1980,24104
United States,USA,1981,23208
United States,USA,1982,22886
United States,USA,1983,23305
United States,USA,1984,23459
United States,USA,1985,23368
United States,USA,1986,23317
United States,USA,1987,23575
United States,USA,1988,23205
United States,USA,1989,22217
United States,USA,1990,21392
United States,USA,1991,19008
United States,USA,1992,13708
United States,USA,1993,11511
United States,USA,1994,10979
United States,USA,1995,10904
United States,USA,1996,11011
United States,USA,1997,10903
United States,USA,1998,10732
United States,USA,1999,10685
United States,USA,2000,10577
United States,USA,2001,10526
United States,USA,2002,10457
United States,USA,2003,10027
United States,USA,2004,8570
United States,USA,2005,8360
United States,USA,2006,7853
United States,USA,2007,5709
United States,USA,2008,5273
United States,USA,2009,5113
United States,USA,2010,5066
United States,USA,2011,4897
United States,USA,2012,4881
United States,USA,2013,4804
United States,USA,2014,4717
United States,USA,2015,4571
United States,USA,2016,4018
United States,USA,2017,3822
United States,USA,2018,3785
United States,USA,2019,3805
United States,USA,2020,3750
United States,USA,2021,3708
United States,USA,2022,3708
United States,USA,2023,3708
World,OWID_WRL,1945,6
World,OWID_WRL,1946,11
World,OWID_WRL,1947,32
World,OWID_WRL,1948,110
World,OWID_WRL,1949,236
World,OWID_WRL,1950,374
World,OWID_WRL,1951,665
World,OWID_WRL,1952,1055
World,OWID_WRL,1953,1557
World,OWID_WRL,1954,2218
World,OWID_WRL,1955,3267
World,OWID_WRL,1956,5094
World,OWID_WRL,1957,7162
World,OWID_WRL,1958,10751
World,OWID_WRL,1959,16606
World,OWID_WRL,1960,22144
World,OWID_WRL,1961,26752
World,OWID_WRL,1962,30920
World,OWID_WRL,1963,33953
World,OWID_WRL,1964,36553
World,OWID_WRL,1965,38419
World,OWID_WRL,1966,39466
World,OWID_WRL,1967,39990
World,OWID_WRL,1968,39015
World,OWID_WRL,1969,38278
World,OWID_WRL,1970,38799
World,OWID_WRL,1971,40616
World,OWID_WRL,1972,43026
World,OWID_WRL,1973,45695
World,OWID_WRL,1974,47182
World,OWID_WRL,1975,47769
World,OWID_WRL,1976,47698
World,OWID_WRL,1977,49698
World,OWID_WRL,1978,51170
World,OWID_WRL,1979,53499
World,OWID_WRL,1980,55352
World,OWID_WRL,1981,56530
World,OWID_WRL,1982,58570
World,OWID_WRL,1983,60818
World,OWID_WRL,1984,62678
World,OWID_WRL,1985,64408
World,OWID_WRL,1986,70374
World,OWID_WRL,1987,68387
World,OWID_WRL,1988,65623
World,OWID_WRL,1989,63657
World,OWID_WRL,1990,61229
World,OWID_WRL,1991,58326
World,OWID_WRL,1992,52463
World,OWID_WRL,1993,48830
World,OWID_WRL,1994,45580
World,OWID_WRL,1995,42366
World,OWID_WRL,1996,39484
World,OWID_WRL,1997,36776
World,OWID_WRL,1998,35387
World,OWID_WRL,1999,34677
World,OWID_WRL,2000,34004
World,OWID_WRL,2001,33190
World,OWID_WRL,2002,31902
World,OWID_WRL,2003,30820
World,OWID_WRL,2004,29627
World,OWID_WRL,2005,28358
World,OWID_WRL,2006,27061
World,OWID_WRL,2007,25533
World,OWID_WRL,2008,23855
World,OWID_WRL,2009,22524
World,OWID_WRL,2010,21234
World,OWID_WRL,2011,20035
World,OWID_WRL,2012,18855
World,OWID_WRL,2013,17680
World,OWID_WRL,2014,16370
World,OWID_WRL,2015,15795
World,OWID_WRL,2016,15233
World,OWID_WRL,2017,14550
World,OWID_WRL,2018,14480
World,OWID_WRL,2019,13875
World,OWID_WRL,2020,13160
World,OWID_WRL,2021,13100
World,OWID_WRL,2022,12705
World,OWID_WRL,2023,12512